nama provinsi,kode provinsi,nama kabupaten,kode kabupaten,nama kecamatan,kode kecamatan
PAPUA PEGUNUNGAN,95,NDUGA,9508,KREPKURI,950831
PAPUA PEGUNUNGAN,95,NDUGA,9508,MAM,950817
PAPUA PEGUNUNGAN,95,NDUGA,9508,MAPENDUMA,950802
PAPUA PEGUNUNGAN,95,NDUGA,9508,MBUA TENGAH,950823
PAPUA PEGUNUNGAN,95,NDUGA,9508,MBULMU YALMA,950822
PAPUA PEGUNUNGAN,95,NDUGA,9508,MBUWA,950807
PAPUA PEGUNUNGAN,95,NDUGA,9508,MEBAROK,950812
PAPUA PEGUNUNGAN,95,NDUGA,9508,MOBA,950828
PAPUA PEGUNUNGAN,95,NDUGA,9508,MUGI,950806
PAPUA PEGUNUNGAN,95,NDUGA,9508,NENGGEAGIN,950830
PAPUA PEGUNUNGAN,95,NDUGA,9508,NIRKURI,950819
PAPUA PEGUNUNGAN,95,NDUGA,9508,PARO,950811
PAPUA PEGUNUNGAN,95,NDUGA,9508,PASIR PUTIH,950832
